scenario,review_pct,error_pct,orch_mean,reduction_days,pct_reduction,p_value
Baseline (Perfect),0,0,6.249794486801458,14.917987807071857,70.47496804324955,0.0
Optimistic (10% review + 2% error),10,2,6.333101113308581,14.834681180564735,70.0814141727941,0.0
Realistic (20% review + 5% error),20,5,6.511691300268009,14.656090993605307,69.23772547418577,0.0
Pessimistic (30% review + 10% error),30,10,6.74805242065001,14.419729873223305,68.12111761654347,0.0
Very Conservative (50% review + 15% error),50,15,7.339707198884327,13.82807509498899,65.32604551111294,0.0
