System,Mean (days),Std Dev (days),Median (days),Q1 (days),Q3 (days),Min (days),Max (days),N
Legacy,21.2173635367647,2.3990790485402056,21.231986499975477,19.58340375161724,22.75746249490868,13.228895016830773,30.609192152104068,1000
FIFO,15.648756098223227,2.094654192177584,15.632461977890996,14.226892453045165,17.030652571766424,9.325183867205011,22.205525892474206,1000
Rule-Based,11.210793296928644,1.8193904200388367,11.199536085065935,10.001200714457555,12.42269333152515,5.613902511731472,18.463539756907203,1000
Partial,9.069113290651826,1.6947686669661493,9.10030454573521,7.883256251187965,10.20045992765681,4.266409661496257,14.451103399831307,1000
Orchestrator,6.180031432047926,1.4091799028874812,6.224096375837103,5.280700956457848,7.157554851953651,1.7390805852616793,10.670332485482255,1000
