scenario,review_pct,review_delay,orch_mean,reduction_days,pct_reduction,p_value
No Review (Baseline),0,0.0,6.249794486801458,14.917987807071857,70.47496804324955,0.0
10% Review (+0.5d),10,0.5,6.303794486801459,14.863987807071858,70.21986337876315,0.0
20% Review (+1d),20,1.0,6.442794486801458,14.724987807071859,69.56320507573331,0.0
30% Review (+1d),30,1.0,6.564794486801459,14.602987807071857,68.98685750041214,0.0
50% Review (+1.5d),50,1.5,7.0042944868014585,14.163487807071856,66.91058898111994,0.0
