scenario,error_pct,rework_range,orch_mean,reduction_days,pct_reduction,p_value
Perfect AI (0% errors),0,0.0-0.0d,6.249794486801458,14.917987807071857,70.47496804324955,0.0
2% Error Rate,2,0.5-2.0d,6.268235858889876,14.899546434983439,70.38784804252205,0.0
5% Error Rate,5,0.5-2.0d,6.309929384516446,14.85785290935687,70.19088113759203,0.0
10% Error Rate,10,1.0-3.0d,6.464987133082885,14.70279516079043,69.45836345381313,0.0
15% Error Rate,15,1.0-3.0d,6.560718415140462,14.607063878732854,69.00611351695845,0.0
