sample_size,legacy_mean,legacy_std,orch_mean,orch_std,absolute_reduction,percent_reduction,p_value,cohens_d,t_statistic
100,21.165761484808275,0.06631391639809031,6.2809199639547835,0.18447306922065893,14.884841520853492,70.32509334255272,0.0,107.38315912808245,759.3136000470121
250,21.172184637057914,0.06648752121656878,6.250291280702387,0.17338316530038142,14.921893356355525,70.4787607521501,0.0,113.64248926038373,1270.5616555925392
500,21.172771733162012,0.06897085829538145,6.246211131279933,0.1751347552996558,14.926560601882079,70.4988500797146,0.0,112.14871646248196,1773.2269034293222
1000,21.167782293873316,0.068714432930075,6.253965171549238,0.170505812861227,14.913817122324078,70.45526505930027,0.0,114.73201431912968,2565.4858321305323
2000,21.16503548169668,0.0686145631411498,6.251132540678414,0.16667130548334502,14.913902941018266,70.464814263674,0.0,117.0171775620307,3700.408064603662
5000,21.166595338551794,0.06873065910491274,6.255426483721917,0.17227592185187,14.911168854829878,70.44670442426519,0.0,113.69180984538164,5684.590492269082
