System,Mean (days),Std Dev (days),Median (days),Min (days),Max (days),CV (%)
Legacy,21.2173635367647,2.3978792089810184,21.231986499975477,13.228895016830773,30.609192152104068,11.30149466886429
FIFO,15.507315614621417,2.0765344773741075,15.507390957025489,9.14594626686254,21.61001988793469,13.390676561817061
Rule-Based,11.184307605151135,1.8547059845540006,11.197639033677216,5.513675691769433,16.851429543268843,16.583109567728467
Partial,9.050028366642342,1.6344226890183562,9.02217755569015,3.991332887232652,14.218342099892785,18.05986260819583
Orchestrator,6.229137362147474,1.4463760845353022,6.2108812869697,1.8551459918712288,12.216732676548983,23.219524637945515
